key,input1,input2,input3
201_2,POS,NEU,"This is great XXXX! Thanks for sharing. Have you found a way to automate the data entry from the Amazon reports into your individualized driver scorecard? As well, what time period are you using for attendance metrics?"
201_3,NEG,POS,"Hi XXXXX- I  have not figured out a way to automate the initial entry yet.  We're pulling hours out of ADP, FICO scores out of Mentor and then metrics off the portal so it's a bit time consuming. We mirror the Amazon weeks so Sunday- Saturday.  We email schedules out the week before on Wednesdays so each Driver has their schedule along with their metrics for the prior week."
201_4,NEU,NEG,XXXXX we do something like this with teams.  There's away to export the scorecard data to an excel and use lookup tables to assign that data to your drivers.  It would probably save you a ton of time.  I'd be happy to set up a call and show you.  Let me know!
201_5,NEG,POS,"@XXXXXXXX Hey XXXXXXX, would love to learn this from you! Let me know what time might work for you in the coming week?"
201_6,POS,NEG,@XXXXXXXX i would like to know more about how you export this in excel.
201_7,POS,POS,@XXXXXXXX So cool - how do you export scorecard info to excel?!
201_8,POS,NEU,"Hi,
Newbie here in San Diego.
Can you tell me where to find the reports for this?
Thanks,
XXXXXX
XXXX DSD3"
201_full,POS,NEG,"response_id: 347
XXXX XXXXXX, owner of St. XXXXX XXXXX in Florida, shares a Quick Tip of converting the SLS Scorecard into individualized reports for all of her drivers. Check out the example scorecard below to see how you might apply this to your business.

WATCH:
https://d2war8rj8bm5io.cloudfront.net/original/1X/500ce81681d904f4e212f7b3570bbb064931005e.mp4 
LISTEN:
https://d2war8rj8bm5io.cloudfront.net/original/1X/a7dbef236bdd59b06e0c19bd903345de63d4de7d.m4a 
EXAMPLE:
![Scorecard%20Example|714x500](upload://fYA4HbrlOK8DdL1svKPSSea2Hg3.png) 

Tag your ""performance"" tools, tips and tricks in the Driver Engagement Topic section to see what ideas other owners may have to share with you!

response_id: 531
This is great XXXX! Thanks for sharing. Have you found a way to automate the data entry from the Amazon reports into your individualized driver scorecard? As well, what time period are you using for attendance metrics?

response_id: 597
Hi XXXXX- I  have not figured out a way to automate the initial entry yet.  We're pulling hours out of ADP, FICO scores out of Mentor and then metrics off the portal so it's a bit time consuming. We mirror the Amazon weeks so Sunday- Saturday.  We email schedules out the week before on Wednesdays so each Driver has their schedule along with their metrics for the prior week.

response_id: 3318
XXXXX we do something like this with teams.  There's away to export the scorecard data to an excel and use lookup tables to assign that data to your drivers.  It would probably save you a ton of time.  I'd be happy to set up a call and show you.  Let me know!

response_id: 10114
@XXXXXXXX Hey XXXXXXX, would love to learn this from you! Let me know what time might work for you in the coming week?

response_id: 12591
@XXXXXXXX i would like to know more about how you export this in excel.

response_id: 16097
@XXXXXXXX So cool - how do you export scorecard info to excel?!

response_id: 17351
Hi,
Newbie here in San Diego.
Can you tell me where to find the reports for this?
Thanks,
XXXXXX
XXXX DSD3"
202_1,POS,POS,"XXXXX XXXXXX, owner of XXXXXXX out of DCS1, shares why he focuses on commitment, accountability and respect as part of his recruitment efforts to develop the culture he wants to foster across his team. 

WATCH:
https://assets-ignitestg-agc-prod-us.s3.dualstack.us-west-2.amazonaws.com/original/1X/44cbec1935f4a3c93de3533c2b85bd275490b174.mp4 
LISTEN:
https://d2war8rj8bm5io.cloudfront.net/original/1X/a898b1a780a039c1c4988f1643f172bc9d2675da.m4a 

Use the tag ""recruiting"" to share your tips on what you suggest looking for as you recruit.

![14%20AM|724x480](upload://bESmkamNqYI2YHvAsuYFKugYfFu.png)"
202_full,POS,NEU,"response_id: 348
XXXXX XXXXXX, owner of XXXXXXX out of DCS1, shares why he focuses on commitment, accountability and respect as part of his recruitment efforts to develop the culture he wants to foster across his team. 

WATCH:
https://assets-ignitestg-agc-prod-us.s3.dualstack.us-west-2.amazonaws.com/original/1X/44cbec1935f4a3c93de3533c2b85bd275490b174.mp4 
LISTEN:
https://d2war8rj8bm5io.cloudfront.net/original/1X/a898b1a780a039c1c4988f1643f172bc9d2675da.m4a 

Use the tag ""recruiting"" to share your tips on what you suggest looking for as you recruit.

![14%20AM|724x480](upload://bESmkamNqYI2YHvAsuYFKugYfFu.png)"
212_2,POS,POS,I am launching on 9/15 and have been working on an 'Expectation' package.  XXXXXX's information would also be very helpful.  Are there documents on both topics that you can share?  XXXXXXX@gmail.com
212_3,NEG,POS,Love the idea of a welcome packet.  How can I get a copy of your PDF?  XXXXXX@XXXXXXX.com
212_4,NEG,POS,@XXXXXXXX Thank you for the valuable information. Where do I go to access the PDF?
212_full,POS,POS,"response_id: 53358
I am launching on 9/15 and have been working on an 'Expectation' package.  XXXXXX's information would also be very helpful.  Are there documents on both topics that you can share?  XXXXXXX@gmail.com

response_id: 63745
Love the idea of a welcome packet.  How can I get a copy of your PDF?  XXXXXX@XXXXXXX.com

response_id: 85616
@XXXXXXXX Thank you for the valuable information. Where do I go to access the PDF?"
